road_name,start_junction_road_name,end_junction_road_name,cars_and_taxis,direction_of_travel,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
M8,25,24,48419,E,55.852428,-4.3338137,1.6,0.99,0,219,,569,8618,1927,334,398,178,699,679,4214,62039
M8,25,24,55053,W,55.852428,-4.3338137,1.6,0.99,0,249,,646,9801,2192,378,452,203,796,771,4792,70541
M8,23,22,24446,E,55.849439,-4.301682,1,0.62,0,82,,236,5067,592,160,133,61,86,661,1694,31525
M8,23,22,25934,W,55.849439,-4.301682,1,0.62,0,80,,243,4995,534,125,149,51,67,515,1442,32695
M8,13,12,37057,E,55.873026,-4.1911784,1.1,0.68,0,118,,414,7025,1549,365,340,127,482,575,3438,48053
M8,13,12,32895,W,55.873026,-4.1911784,1.1,0.68,0,103,,399,5780,1556,272,288,141,451,681,3387,42563
M8,15,14,62944,E,55.86617019,-4.22275752,1.2,0.75,0,126,,760,12885,1865,240,308,214,748,1138,4512,81226
M8,15,14,59556,W,55.86617019,-4.22275752,1.2,0.75,0,101,,769,11430,1598,277,289,91,622,936,3813,75670
M74,A74,A724,26000,E,55.836076,-4.1802675,0.1,0.06,0,106,,117,4984,961,168,195,193,1166,1385,4068,35276
M74,A74,A724,26057,W,55.836076,-4.1802675,0.1,0.06,0,106,,117,4995,963,169,195,194,1169,1388,4077,35353
M8,16,15,63268,E,55.869383,-4.2437204,1.1,0.68,0,144,,174,12878,1759,379,403,169,651,1123,4483,80946
M8,16,15,56326,W,55.869383,-4.2437204,1.1,0.68,0,128,,286,11583,1609,234,320,85,545,954,3746,72070
M8,11,10,33551,E,55.869526,-4.1398329,1.8,1.12,0,121,,318,6733,990,213,204,89,149,820,2466,43188
M8,11,10,33293,W,55.869526,-4.1398329,1.8,1.12,0,92,,331,6711,960,239,171,76,106,747,2299,42726
M8,9,M73,34789,E,55.861036,-4.1058075,2,1.24,0,75,,237,7984,948,252,338,97,380,935,2949,46034
M8,9,M73,34197,W,55.861036,-4.1058075,2,1.24,0,94,,252,7657,804,201,287,70,295,881,2538,44737
M8,18,17,47116,N,55.866177,-4.2715055,1.1,0.68,0,97,,107,9429,1465,287,360,60,983,634,3790,60538
M8,18,17,20611,S,55.866177,-4.2715055,1.1,0.68,0,42,,53,4209,559,94,140,13,346,232,1384,26299
M8,24,23,49575,E,55.84942,-4.3122252,0.9,0.56,0,189,,354,10155,1059,325,382,86,461,1152,3465,63738
M8,24,23,53508,W,55.84942,-4.3122252,0.9,0.56,0,175,,358,11181,1001,329,404,53,462,1141,3389,68610
M8,12,11,36519,E,55.872327,-4.1799495,2,1.24,0,104,,487,6457,1657,271,216,114,551,501,3309,46877
M8,12,11,34077,W,55.872327,-4.1799495,2,1.24,0,100,,398,5564,1353,184,240,61,463,572,2873,43012
M8,17,16,54162,E,55.870077,-4.2549495,1.1,0.68,0,83,,103,11805,1170,405,457,77,172,1341,3622,69776
M8,17,16,51278,W,55.870077,-4.2549495,1.1,0.68,0,66,,100,11161,1093,167,509,50,144,1232,3194,65799
M74,A74,A74,23129,E,55.835551,-4.171806,0.9,0.56,0,99,,220,4577,928,205,205,140,820,1668,3966,31992
M74,A74,A74,24295,W,55.835551,-4.171806,0.9,0.56,0,104,,231,4807,975,215,215,147,862,1752,4166,33605
M74,M74,A763,4167,E,55.835724,-4.1573787,0.4,0.25,0,18,,40,825,167,37,37,25,148,301,715,5764
M74,LA Boundary,3,27394,E,55.83504,-4.1098313,0.4,0.25,0,112,,123,5252,1012,177,205,203,1229,1459,4287,37167
M74,LA Boundary,3,30434,W,55.83504,-4.1098313,0.4,0.25,0,124,,137,5835,1125,197,228,226,1365,1621,4762,41293
M8,M74,Seaward Street,12638,W,55.849256,-4.2796083,0.4,0.25,0,53,,65,2633,467,94,103,70,343,687,1764,17153
M8,Seaward Street,A8,3982,W,55.85109,-4.2718232,0.9,0.56,0,17,,20,830,147,30,33,22,108,216,556,5404
M74,A724,A730/B763,26015,E,55.834956,-4.2341349,0.2,0.12,0,106,,117,4987,961,168,195,193,1167,1386,4071,35297
M74,A724,A730/B763,28627,W,55.834956,-4.2341349,0.2,0.12,0,117,,129,5488,1058,185,214,213,1284,1525,4479,38840
M8,A8,M8 Slips,45133,N,55.8547,-4.2700366,0.5,0.31,0,84,,458,8505,1198,227,229,89,481,880,3104,57283
M8,A8,M8 Slips,69749,S,55.8547,-4.2700366,0.5,0.31,0,139,,551,12736,1516,228,273,51,492,862,3423,86598
