count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
50728,2019,3,Scotland,3,"Glasgow City",A8,Major,A74/A728,A814,259400,664400,55.85223800,-4.24752500,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",177,35,11818,99,2009,309,56,23,4,7,9,408,14370
40817,2019,3,Scotland,3,"Glasgow City",A8,Major,A730,A74/A728,259200,664300,55.85128100,-4.25066510,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",89,60,8783,60,939,89,16,3,9,6,6,129,9971
50808,2019,3,Scotland,3,"Glasgow City",M8,Major,10,9,267300,665400,55.86345600,-4.12191960,1.40,0.87,Estimated,"Estimated using previous year's AADF on this link",0,190,71352,804,14595,3722,619,911,328,1448,1333,8362,95302
40811,2019,3,Scotland,3,"Glasgow City",M8,Major,24,23,255340,664220,55.84942000,-4.31222520,0.90,0.56,Counted,"Automatic counter",0,349,103917,708,21166,2035,687,814,137,914,2287,6874,133014
30919,2019,3,Scotland,3,"Glasgow City",A804,Major,A82,M8/A81,258493,666390,55.86983800,-4.26303980,0.60,0.37,Estimated,"Estimated using previous year's AADF on this link",39,33,10673,472,2450,256,44,59,11,13,14,398,14025
50828,2019,3,Scotland,3,"Glasgow City",A82,Major,A804,A739,257200,667130,55.87610000,-4.28407540,4.10,2.55,Estimated,"Estimated using previous year's AADF on this link",357,68,16256,272,2591,240,41,25,19,22,38,384,19572
30812,2019,3,Scotland,3,"Glasgow City",M8,Major,17,16,259000,666400,55.87007700,-4.25494950,1.10,0.68,Estimated,"Estimated using previous year's AADF on this link",0,145,107057,203,22949,2251,605,1007,126,315,2584,6889,137242
40808,2019,3,Scotland,3,"Glasgow City",M8,Major,9,M73,268300,665100,55.86103600,-4.10580750,2.00,1.24,Estimated,"Estimated using previous year's AADF on this link",0,163,70043,490,15629,1743,479,652,166,672,1823,5535,91861
30843,2019,3,Scotland,3,"Glasgow City",A81,Major,M8/A804,"B808 Bilsland Drive",258000,667500,55.87965800,-4.27149370,2.10,1.30,Estimated,"Estimated using previous year's AADF on this link",86,24,7994,142,1623,185,25,24,4,14,40,292,10074
30925,2019,3,Scotland,3,"Glasgow City",A814,Major,M8/A804,"A814 James Watt St",258300,664950,55.85685300,-4.26536850,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",1266,70,12480,79,1884,228,23,24,16,7,9,306,14820
