local_authority_id,local_authority_name,year,link_length_km,link_length_miles,cars_and_taxis,all_motor_vehicles
206,"East Renfrewshire",2020,522.105,324.42,285677039.8,378270238.8
206,"East Renfrewshire",2019,520.317,323.31,383381393.9,484203624.7
206,"East Renfrewshire",2018,519.7757,322.97,389589462.5,489081269.3
206,"East Renfrewshire",2017,516.3,320.81,386357395.1,486692624.5
206,"East Renfrewshire",2016,516.62,321.01,392843870.2,489091965.9
206,"East Renfrewshire",2015,511.71,317.96,387364446.4,479078752.9
206,"East Renfrewshire",2014,510.43,317.17,374202002.2,466339834.1
206,"East Renfrewshire",2013,509.4173821,316.54,367561278.9,454763422.2
206,"East Renfrewshire",2012,507.9033982,315.6,369596605.9,453468152
206,"East Renfrewshire",2011,507.99,315.65,374147520.6,463443208.8
206,"East Renfrewshire",2010,505.49,314.1,361316014,448108043.6
206,"East Renfrewshire",2009,503.29,312.73,373470570.9,460958217.1
206,"East Renfrewshire",2008,503.89,313.1,373774054.5,462976350.6
206,"East Renfrewshire",2007,503.39,312.79,371707242.7,460508836.3
206,"East Renfrewshire",2006,503.49,312.85,357626239.9,442930478.8
206,"East Renfrewshire",2005,487.57,302.96,307441729.7,378537431.5
206,"East Renfrewshire",2004,487.2,302.73,314612591.8,385186511.3
206,"East Renfrewshire",2003,489.307,304.04,310416079.2,377847413.6
206,"East Renfrewshire",2002,488.2,303.35,312869577.3,376531245.7
206,"East Renfrewshire",2001,487.3,302.79,305192817.7,366884742.5
206,"East Renfrewshire",2000,486.2,302.11,302791212.1,363409484.7
206,"East Renfrewshire",1999,485.2,301.49,290421441.9,348214755.2
206,"East Renfrewshire",1998,483.789,300.61,285676166.2,342202692.5
206,"East Renfrewshire",1997,482.841,300.02,282612901.9,336796143
206,"East Renfrewshire",1996,481.618,299.26,279606962.8,331522404.2
206,"East Renfrewshire",1995,480.484,298.56,274317748.1,324712657.5
206,"East Renfrewshire",1994,479.382,297.87,270822369.2,320298590.6
206,"East Renfrewshire",1993,478.326,297.22,267148309.5,315724917.1
