,RecTime,measurementSiteReference,basicDataValue.vehicleFlow
0,2021-12-02T20:21:08,GH020A_B,14
2,2021-12-02T20:21:08,GJ3301_D,5
4,2021-12-02T20:21:08,GH020A_A,7
6,2021-12-02T20:21:08,GJ3301_C,5
8,2021-12-02T20:21:08,GJ3301_B,4
10,2021-12-02T20:21:08,GJ3301_A,14
12,2021-12-02T20:21:08,GC2381_T,0
14,2021-12-02T20:21:08,GC2381_S,0
16,2021-12-02T20:21:08,GC2381_R,0
18,2021-12-02T20:21:08,GD2701_D,0
20,2021-12-02T20:21:08,GD2701_B,15
22,2021-12-02T20:21:08,GD2701_A,18
24,2021-12-02T20:21:08,GF0301_D,0
26,2021-12-02T20:21:08,GF0301_C,0
28,2021-12-02T20:21:08,GJ275A_V,18
30,2021-12-02T20:21:08,GF0301_B,0
32,2021-12-02T20:21:08,GC4151_E,11
34,2021-12-02T20:21:08,GC4151_C,4
36,2021-12-02T20:21:08,GC4151_A,0
38,2021-12-02T20:21:08,GH195A_B,0
40,2021-12-02T20:21:08,GH195A_A,0
42,2021-12-02T20:21:08,GB0501_D,43
44,2021-12-02T20:21:08,GB0501_A,4
46,2021-12-02T20:21:08,GA2801_G,0
48,2021-12-02T20:21:08,GG1101_T,0
50,2021-12-02T20:21:08,GG1101_S,0
52,2021-12-02T20:21:08,GG1101_R,0
54,2021-12-02T20:21:08,GA2801_B,0
56,2021-12-02T20:21:08,GA2801_A,0
58,2021-12-02T20:21:08,GH3301_D,7
60,2021-12-02T20:21:08,GH3301_B,7
62,2021-12-02T20:21:08,GH3301_A,16
64,2021-12-02T20:21:08,GC1301_V,2
66,2021-12-02T20:21:08,GC1301_T,9
68,2021-12-02T20:21:08,GC1301_S,9
70,2021-12-02T20:21:08,GC1301_R,9
72,2021-12-02T20:21:08,GG012A_S,0
74,2021-12-02T20:21:08,GG012A_R,0
76,2021-12-02T20:21:08,GH1001_E,7
78,2021-12-02T20:21:08,GH1001_D,3
80,2021-12-02T20:21:08,GH1001_C,3
82,2021-12-02T20:21:08,GH1001_B,4
84,2021-12-02T20:21:08,GH1001_A,8
86,2021-12-02T20:21:08,GK0351_V,82
88,2021-12-02T20:21:08,GK0351_T,35
90,2021-12-02T20:21:08,GK0351_R,14
92,2021-12-02T20:21:08,GB1301_X,0
94,2021-12-02T20:21:08,GB1301_V,9
96,2021-12-02T20:21:08,GH002A_S,22
98,2021-12-02T20:21:08,GB1301_T,22
100,2021-12-02T20:21:08,GH002A_R,22
102,2021-12-02T20:21:08,GB1301_R,0
104,2021-12-02T20:21:08,GJ3551_W,0
106,2021-12-02T20:21:08,GJ3551_V,0
108,2021-12-02T20:21:08,GJ3551_T,0
110,2021-12-02T20:21:08,GC0321_F,7
112,2021-12-02T20:21:08,GC0321_D,0
114,2021-12-02T20:21:08,GC0321_B,7
116,2021-12-02T20:21:08,GC0321_A,4
118,2021-12-02T20:21:08,GA1301_P,0
120,2021-12-02T20:21:08,GL1151_D,0
122,2021-12-02T20:21:08,GA1301_G,4
124,2021-12-02T20:21:08,GL1151_C,0
126,2021-12-02T20:21:08,GD200A_S,14
128,2021-12-02T20:21:08,GL1151_B,0
130,2021-12-02T20:21:08,GD200A_R,27
132,2021-12-02T20:21:08,GL1151_A,0
134,2021-12-02T20:21:08,GA1301_A,12
136,2021-12-02T20:21:08,GD0651_S,30
138,2021-12-02T20:21:08,GD0651_R,16
140,2021-12-02T20:21:08,GH312A_D,14
142,2021-12-02T20:21:08,GB0751_V,22
144,2021-12-02T20:21:08,GB0751_T,44
146,2021-12-02T20:21:08,GB0751_S,17
148,2021-12-02T20:21:08,GA4401_Y,6
150,2021-12-02T20:21:08,GA4401_N,16
152,2021-12-02T20:21:08,GJ290A_M,18
154,2021-12-02T20:21:08,GA4401_M,14
156,2021-12-02T20:21:08,GL2801_S,0
158,2021-12-02T20:21:08,GL2801_R,0
160,2021-12-02T20:21:08,GC155A_A,13
162,2021-12-02T20:21:08,GG267A_B,13
164,2021-12-02T20:21:08,GG267A_A,16
166,2021-12-02T20:21:08,GA2101_C,0
168,2021-12-02T20:21:08,GA2101_A,0
170,2021-12-02T20:21:08,GK5141_R,0
172,2021-12-02T20:21:08,GB1551_T,0
174,2021-12-02T20:21:08,GL1821_V,9
176,2021-12-02T20:21:08,GB1551_S,0
178,2021-12-02T20:21:08,GD1451_F,5
180,2021-12-02T20:21:08,GL1821_S,31
182,2021-12-02T20:21:08,GL1821_R,16
184,2021-12-02T20:21:08,GD1451_D,25
186,2021-12-02T20:21:08,GI0601_W,0
188,2021-12-02T20:21:08,GI0601_V,0
190,2021-12-02T20:21:08,GG2151_V,0
192,2021-12-02T20:21:08,GI0601_T,0
194,2021-12-02T20:21:08,GG2151_T,0
196,2021-12-02T20:21:08,GG2151_S,16
198,2021-12-02T20:21:08,GI0601_R,0
200,2021-12-02T20:21:08,GG2151_R,16
202,2021-12-02T20:21:08,GK0501_D,10
204,2021-12-02T20:21:08,GK0501_C,15
206,2021-12-02T20:21:08,GK0501_B,7
208,2021-12-02T20:21:08,GK0501_A,15
210,2021-12-02T20:21:08,GF215A_V,0
212,2021-12-02T20:21:08,GA5201_D,19
214,2021-12-02T20:21:08,GF215A_T,13
216,2021-12-02T20:21:08,GA5201_B,9
218,2021-12-02T20:21:08,GA5201_A,13
220,2021-12-02T20:21:08,GB0141_V,16
222,2021-12-02T20:21:08,GB0141_U,8
224,2021-12-02T20:21:08,GA1551_J,0
226,2021-12-02T20:21:08,GG2581_F,0
228,2021-12-02T20:21:08,GG2581_C,13
230,2021-12-02T20:21:08,GG2581_B,4
232,2021-12-02T20:21:08,GL1301_T,14
234,2021-12-02T20:21:08,GG2581_A,26
236,2021-12-02T20:21:08,GL1301_S,3
238,2021-12-02T20:21:08,GL1301_R,117
240,2021-12-02T20:21:08,GD2251_S,23
242,2021-12-02T20:21:08,GH337A_B,17
244,2021-12-02T20:21:08,GD2251_R,29
246,2021-12-02T20:21:08,GL2621_T,0
248,2021-12-02T20:21:08,GC0051_G,6
250,2021-12-02T20:21:08,GA4651_V,0
252,2021-12-02T20:21:08,GC0051_F,2
254,2021-12-02T20:21:08,GC0051_E,18
256,2021-12-02T20:21:08,GA4651_T,0
258,2021-12-02T20:21:08,GC0051_D,7
260,2021-12-02T20:21:08,GA0571_V,9
262,2021-12-02T20:21:08,GA4651_S,0
264,2021-12-02T20:21:08,GA4651_R,0
266,2021-12-02T20:21:08,GA0571_N,27
268,2021-12-02T20:21:08,GD0801_C,9
270,2021-12-02T20:21:08,GD0801_A,35
272,2021-12-02T20:21:08,GB0051_W,0
274,2021-12-02T20:21:08,GB0051_V,0
276,2021-12-02T20:21:08,GB0051_P,0
278,2021-12-02T20:21:08,GA2351_X,5
280,2021-12-02T20:21:08,GA2351_T,31
282,2021-12-02T20:21:08,GA2351_R,17
284,2021-12-02T20:21:08,GB1371_V,0
286,2021-12-02T20:21:08,GB1371_T,2
288,2021-12-02T20:21:08,GB1371_S,12
290,2021-12-02T20:21:08,GK075A_V,8
292,2021-12-02T20:21:08,GB1371_R,20
294,2021-12-02T20:21:08,GK075A_T,17
296,2021-12-02T20:21:08,GC1701_B,15
298,2021-12-02T20:21:08,GC1701_A,25
300,2021-12-02T20:21:08,GD3051_E,13
302,2021-12-02T20:21:08,GD3051_D,21
304,2021-12-02T20:21:08,GA5451_X,13
306,2021-12-02T20:21:08,GD3051_C,8
308,2021-12-02T20:21:08,GA5451_W,18
310,2021-12-02T20:21:08,GD3051_B,10
312,2021-12-02T20:21:08,GA5451_V,18
314,2021-12-02T20:21:08,GD3051_A,0
316,2021-12-02T20:21:08,GA5451_T,9
318,2021-12-02T20:21:08,GA1371_V,4
320,2021-12-02T20:21:08,GA5451_S,15
322,2021-12-02T20:21:08,GA5451_R,4
324,2021-12-02T20:21:08,GA1371_R,18
326,2021-12-02T20:21:08,GD207A_S,4
328,2021-12-02T20:21:08,GD207A_R,0
330,2021-12-02T20:21:08,GG230A_B,31
332,2021-12-02T20:21:08,GG230A_A,27
334,2021-12-02T20:21:08,GG0951_D,13
336,2021-12-02T20:21:08,GG0951_C,17
338,2021-12-02T20:21:08,GG0951_B,7
340,2021-12-02T20:21:08,GG0951_A,9
342,2021-12-02T20:21:08,GH4501_G,0
344,2021-12-02T20:21:08,GB1281_L,29
346,2021-12-02T20:21:08,GH2201_V,8
348,2021-12-02T20:21:08,GH2201_T,10
350,2021-12-02T20:21:08,GH2201_S,7
352,2021-12-02T20:21:08,GH2201_R,9
354,2021-12-02T20:21:08,GE0101_D,0
356,2021-12-02T20:21:08,GE0101_C,13
358,2021-12-02T20:21:08,GE0101_B,7
360,2021-12-02T20:21:08,GE0101_A,16
362,2021-12-02T20:21:08,GC0201_G,11
364,2021-12-02T20:21:08,GC0201_D,5
366,2021-12-02T20:21:08,GC0201_C,3
368,2021-12-02T20:21:08,GC152A_D,0
370,2021-12-02T20:21:08,GC152A_C,0
372,2021-12-02T20:21:08,GE1851_W,0
374,2021-12-02T20:21:08,GE1851_V,0
376,2021-12-02T20:21:08,GE1851_T,0
378,2021-12-02T20:21:08,GA4801_D,4
380,2021-12-02T20:21:08,GE1851_S,0
382,2021-12-02T20:21:08,GA4801_C,9
384,2021-12-02T20:21:08,GA4801_B,13
386,2021-12-02T20:21:08,GA4801_A,16
388,2021-12-02T20:21:08,GG1751_C,9
390,2021-12-02T20:21:08,GG1751_B,4
392,2021-12-02T20:21:08,GD0101_D,3
394,2021-12-02T20:21:08,GD0101_B,14
396,2021-12-02T20:21:08,GD0101_A,28
398,2021-12-02T20:21:08,GC2411_P,0
400,2021-12-02T20:21:08,GC2411_N,0
402,2021-12-02T20:21:08,GC2411_M,0
404,2021-12-02T20:21:08,GA2501_D,0
406,2021-12-02T20:21:08,GL0051_X,4
408,2021-12-02T20:21:08,GL0051_T,10
410,2021-12-02T20:21:08,GL0051_S,4
412,2021-12-02T20:21:08,GL0051_R,13
414,2021-12-02T20:21:08,GA0201_T,0
416,2021-12-02T20:21:08,GA0201_S,0
418,2021-12-02T20:21:08,GJ0151_H,13
420,2021-12-02T20:21:08,GE222A_B,4
422,2021-12-02T20:21:08,GE222A_A,21
424,2021-12-02T20:21:08,GJ0151_D,32
426,2021-12-02T20:21:08,GJ0151_C,9
428,2021-12-02T20:21:08,GJ0151_B,21
