,@id,measurementSpecificCharacteristics,measurementEquipmentTypeUsed.value.@lang,measurementEquipmentTypeUsed.value.#text,measurementSiteLocation.@xsi$type,measurementSiteLocation.tpeglinearLocation.tpegDirection,measurementSiteLocation.tpeglinearLocation.tpegLocationType,measurementSiteLocation.tpeglinearLocation.to.@xsi$type,toLatitude,toLongitude,toDescription,measurementSiteLocation.tpeglinearLocation.to.name.tpegDescriptorType,measurementSiteLocation.tpeglinearLocation.from.@xsi$type,fromLatitude,fromLongitude,fromDescription,measurementSiteLocation.tpeglinearLocation.from.name.tpegDescriptorType
0,GH020A_B,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.854434529999814,-4.216974959509279,Gallowgate west to Sword St,other,TPEGNonJunctionPoint,55.8543754827825,-4.217259197086495,Gallowgate west to Sword St,other
1,GJ3301_D,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.82105417976632,-4.25607160697339,Carmunnock Rd southbound,other,TPEGNonJunctionPoint,55.821736212748405,-4.2561270616272875,Carmunnock Rd southbound,other
2,GH020A_A,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.85526881737797,-4.2260182328994995,Gallowgate east to Sword St,other,TPEGNonJunctionPoint,55.85539015389372,-4.225769520669405,Gallowgate east to Sword St,other
3,GJ3301_C,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.81849086854625,-4.255683756017223,Carmunnock Rd northbound to Kings Park Avenue,other,TPEGNonJunctionPoint,55.81925458152306,-4.255696036412074,Carmunnock Rd northbound to Kings Park Avenue,other
4,GJ3301_B,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.82016283016515,-4.2502729750640285,Kings Park Ave westbound to Carmunnock Rd,other,TPEGNonJunctionPoint,55.820288451422314,-4.250775113480551,Kings Park Ave westbound to Carmunnock Rd,other
5,GJ3301_A,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.82410688116023,-4.258196175251756,Kings Park Rd southbound,other,TPEGNonJunctionPoint,55.82321777097949,-4.258160608689249,Kings Park Rd southbound,other
6,GC2381_T,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.886899038949245,-4.3753355419780835,Bulldale Road,other,TPEGNonJunctionPoint,55.88630723491306,-4.376194906434908,Bulldale Road,other
7,GC2381_S,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.88540387234871,-4.371774067792365,Dumbarton Road Outbound to Bulldale Rd.,other,TPEGNonJunctionPoint,55.88563301564599,-4.372475677796264,Dumbarton Road Outbound to Bulldale Rd.,other
8,GC2381_R,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.88820586620821,-4.378405994326701,Dumbarton Road inbound to Bulldale St,other,TPEGNonJunctionPoint,55.88791083146969,-4.3778601932779795,Dumbarton Road inbound to Bulldale St,other
9,GD2701_D,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.89670336618549,-4.299203285213263,Shiskine Drive,other,TPEGNonJunctionPoint,55.89713453859071,-4.29825305864195,Shiskine Drive,other
